n_estimators,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,mean_MAPE_percent
5,5.431306336348633,2.936622819364598,2.2890806219431346,14.25287188957795,0.6847148172311452,3.2406204363300746,0.7489680173585755,1.4108657308072532,3.826195890823556,2.5128146324718705,3.7334061192256796
10,4.987415122082312,1.8590711376283902,1.907707801734488,12.871807103781538,1.939906163566195,3.0596153807682254,1.2725791098949186,0.5987820112159412,4.179253805989699,2.835555825309291,3.5511693461971
36,3.3325422432863334,3.7045661077954177,2.178813107992243,9.973692905620563,2.3863864002093385,2.344335969091907,1.0517946007665848,0.9791935705135818,2.441396397077403,2.8407820942910096,3.123350339664438
82,3.3018849556946526,3.846521134857088,1.721314163072123,10.357845510641603,2.48601279900691,2.33336254419884,1.1857476161715639,1.0327044309112576,2.4747314302922483,2.6721481798692968,3.141227276471558
140,3.0788385666561795,3.6040543959103806,1.7939894600158899,10.332180485039673,2.3516970302338622,2.1959150371978424,1.146178790308864,0.9041826182474528,2.1891508195995537,2.4352250425284514,3.0031412245738154
260,2.8920460001698807,3.0997545062971166,1.7408150181239743,10.315689067042264,2.313490847879399,2.345404376419075,1.1772680600473346,0.9135039985914839,2.2067073888776862,2.5617346581865,2.9566413921634713
480,2.745974786437851,3.13747241668589,1.9122501082206853,10.71157497312025,2.3391205163827045,2.307870249392405,1.2305396379169398,0.9880507537029407,2.0834447982025837,2.613145906491141,3.0069444146553392
650,2.7219803000125076,3.0636611282710393,1.9432135597660285,10.722558049978591,2.3425172892322816,2.363159671397713,1.068986288664944,1.061747434326793,1.882373261379144,2.595231280128289,2.9765428263157334
