file,Pmax,delta_star,At,m,sigmaI,GI,sigmaII,GII
sample_1.csv,222.15,0.000492,0.07611529418945001,280877.15621943964,80.0,0.969,100.0,1.719
sample_2.csv,227.97,0.000501,0.07696805298425001,280710.6312314635,80.81632653061224,1.0155510204081633,100.81632653061224,1.7629591836734697
sample_3.csv,229.69,0.000505,0.077256928463,280586.36633262644,81.63265306122449,1.0621020408163264,101.63265306122447,1.806918367346939
sample_4.csv,224.73,0.000488,0.0608888299166,276226.9520341831,82.44897959183673,1.1086530612244898,102.44897959183672,1.8508775510204083
sample_5.csv,236.23,0.000605,0.07456745612739998,280328.00277031725,83.26530612244898,1.155204081632653,103.26530612244898,1.8948367346938777
sample_6.csv,244.39,0.000537,0.07560749934614996,280204.9688379263,84.08163265306122,1.2017551020408164,104.08163265306122,1.9387959183673469
sample_7.csv,246.02,0.000528,0.075190247886,281445.5035061058,84.89795918367346,1.2483061224489795,104.89795918367346,1.9827551020408165
sample_9.csv,250.89,0.000531,0.07503529163435,281231.98115833657,85.71428571428571,1.294857142857143,105.71428571428572,2.0267142857142857
sample_10.csv,256.88,0.00054,0.0785902320768,279786.1364827358,86.53061224489795,1.341408163265306,106.53061224489797,2.070673469387755
sample_11.csv,258.63,0.000543,0.06888203824390002,273825.38942081376,87.34693877551021,1.3879591836734693,107.3469387755102,2.1146326530612245
sample_12.csv,269.81,0.000557,0.07352782031465001,279607.041565842,88.16326530612245,1.4345102040816329,108.16326530612244,2.158591836734694
sample_13.csv,273.55,0.000563,0.0774987934362,279524.929850026,88.9795918367347,1.481061224489796,108.9795918367347,2.2025510204081633
sample_14.csv,150.69,0.00059,0.046638853127649996,269786.1712658283,89.79591836734694,1.5276122448979592,109.79591836734694,2.2465102040816327
sample_15.csv,274.15,0.000563,0.07981974782360002,279371.90303625533,90.6122448979592,1.5741632653061224,110.6122448979592,2.290469387755102
sample_16.csv,278.57,0.000569,0.07593439374674998,279337.4515061584,91.42857142857144,1.6207142857142856,111.42857142857144,2.3344285714285715
sample_17.csv,286.83,0.000586,0.07361719386605,279277.8983014643,92.24489795918367,1.667265306122449,112.24489795918367,2.378387755102041
sample_18.csv,291.18,0.000587,0.0739278459212,279175.1130201262,93.06122448979592,1.7138163265306123,113.06122448979592,2.4223469387755103
sample_19.csv,285.91,0.000577,0.07110571393265001,279113.6519390431,93.87755102040816,1.7603673469387755,113.87755102040816,2.4663061224489797
sample_20.csv,286.46,0.000581,0.07225291436940001,279064.2289662907,94.6938775510204,1.806918367346939,114.6938775510204,2.510265306122449
sample_21.csv,292.58,0.000585,0.07350399597115,279009.52878514095,95.51020408163264,1.853469387755102,115.51020408163264,2.554224489795918
sample_22.csv,292.61,0.000585,0.07353292431219999,278962.79753958184,96.3265306122449,1.9000204081632657,116.3265306122449,2.5981836734693875
sample_23.csv,292.54,0.000585,0.07355993694875,278913.61478421616,97.14285714285714,1.9465714285714288,117.14285714285714,2.642142857142857
sample_24.csv,292.58,0.000585,0.0736067309618,278871.35608482204,97.9591836734694,1.993122448979592,117.9591836734694,2.6861020408163263
sample_25.csv,296.23,0.000585,0.07364506962400001,278827.59079784655,98.77551020408164,2.039673469387755,118.77551020408164,2.7300612244897957
sample_26.csv,298.21,0.000588,0.07455830036215,278798.0193565738,99.59183673469389,2.086224489795918,119.59183673469389,2.774020408163265
sample_27.csv,299.68,0.000588,0.07459480248,278759.6659790093,100.40816326530611,2.1327755102040817,120.40816326530611,2.8179795918367345
sample_28.csv,300.1,0.000588,0.07459869923915,278730.0827249059,101.22448979591836,2.179326530612245,121.22448979591836,2.861938775510204
sample_29.csv,302.85,0.000585,0.07370910021395001,278700.23705224285,102.04081632653062,2.225877551020408,122.04081632653062,2.9058979591836733
sample_30.csv,303.16,0.000585,0.07370329527310002,278667.0046757615,102.85714285714286,2.2724285714285712,122.85714285714286,2.9498571428571427
sample_31.csv,303.16,0.000585,0.07369745408605001,278645.82152556936,103.6734693877551,2.318979591836735,123.6734693877551,2.993816326530612
sample_32.csv,303.14,0.000585,0.07369160309465,278622.30488964677,104.48979591836736,2.365530612244898,124.48979591836736,3.0377755102040815
sample_33.csv,303.12,0.000584,0.07338641501224999,278596.35411572736,105.3061224489796,2.412081632653061,125.3061224489796,3.081734693877551
sample_34.csv,303.1,0.000584,0.07338108678835,278576.9066525449,106.12244897959184,2.4586326530612244,126.12244897959184,3.1256938775510203
sample_35.csv,303.08,0.000584,0.07337796060509999,278538.3240365776,106.93877551020408,2.5051836734693875,126.93877551020408,3.1696530612244898
sample_36.csv,303.06,0.000584,0.07337287401720002,278416.93531881063,107.75510204081633,2.551734693877551,127.75510204081633,3.213612244897959
sample_37.csv,303.05,0.000584,0.0733690969586,278418.0739367158,108.57142857142856,2.5982857142857143,128.57142857142858,3.257571428571429
sample_38.csv,303.04,0.000584,0.07336671341465,278418.92790014454,109.3877551020408,2.6448367346938775,129.3877551020408,3.301530612244898
sample_39.csv,303.02,0.000584,0.0733633308707,278419.78186357336,110.20408163265306,2.6913877551020406,130.20408163265307,3.3454897959183674
sample_40.csv,303.01,0.000584,0.07336085632675,278420.6358270021,111.0204081632653,2.7379387755102043,131.0204081632653,3.3894489795918368
sample_41.csv,303.01,0.000584,0.07335873779745,278421.2051359547,111.83673469387756,2.784489795918367,131.83673469387756,3.433408163265306
sample_42.csv,303.0,0.000584,0.07335726726814998,278421.7744449072,112.6530612244898,2.8310408163265306,132.6530612244898,3.4773673469387756
