displacement ,force
2.93E-06,0.78998
5.86E-06,1.59E+00
8.78E-06,2.39E+00
1.17E-05,3.20E+00
1.46E-05,4.01E+00
1.76E-05,4.83E+00
2.05E-05,5.66E+00
2.34E-05,6.50E+00
2.63E-05,7.34E+00
2.93E-05,8.18E+00
3.51E-05,9.90E+00
4.10E-05,1.16E+01
4.97E-05,1.43E+01
5.85E-05,1.70E+01
6.43E-05,1.89E+01
7.02E-05,2.07E+01
7.89E-05,2.36E+01
8.77E-05,2.65E+01
9.35E-05,2.85E+01
9.94E-05,3.05E+01
1.08E-04,3.35E+01
1.17E-04,36.638
1.23E-04,38.75
1.29E-04,40.89
1.37E-04,44.152
1.46E-04,47.477
1.52E-04,49.728
1.58E-04,52.009
1.66E-04,55.482
1.75E-04,59.02
1.81E-04,61.412
1.87E-04,63.837
1.96E-04,67.526
2.04E-04,71.281
2.10E-04,73.819
2.16E-04,76.39
2.25E-04,80.3
2.33E-04,84.276
2.39E-04,86.962
2.45E-04,89.684
2.54E-04,93.818
2.62E-04,98.022
2.68E-04,100.86
2.74E-04,103.73
2.83E-04,108.1
2.92E-04,112.53
2.97E-04,115.52
3.03E-04,118.55
3.12E-04,123.15
3.21E-04,127.82
3.27E-04,130.97
3.32E-04,134.16
3.41E-04,139
3.50E-04,143.91
3.56E-04,147.22
3.62E-04,150.57
3.70E-04,155.65
3.79E-04,160.8
3.85E-04,164.27
3.91E-04,167.79
3.99E-04,173.12
4.08E-04,178.53
4.14E-04,182.16
4.20E-04,185.85
4.29E-04,191.43
4.38E-04,197.09
4.43E-04,200.89
4.49E-04,204.75
4.58E-04,210.59
4.67E-04,216.51
4.73E-04,220.48
4.79E-04,224.52
4.87E-04,230.62
4.96E-04,236.79
5.02E-04,240.94
5.08E-04,245.16
5.17E-04,251.52
5.26E-04,257.97
5.32E-04,262.29
5.37E-04,266.69
5.46E-04,273.32
5.55E-04,280.04
5.61E-04,284.54
5.67E-04,289.12
5.76E-04,296.03
5.84E-04,303.02
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
