displacement ,force
2.93E-06,0.79516
5.86E-06,1.5966
8.78E-06,2.4044
1.17E-05,3.2185
1.46E-05,4.0389
1.76E-05,4.8657
2.05E-05,5.6989
2.34E-05,6.5385
2.63E-05,7.3844
2.93E-05,8.2368
3.51E-05,9.961
4.10E-05,11.711
4.97E-05,14.385
5.85E-05,17.118
6.43E-05,18.972
7.02E-05,20.854
7.89E-05,23.726
8.77E-05,26.659
9.35E-05,28.647
9.93E-05,30.663
1.08E-04,33.738
1.17E-04,36.875
1.23E-04,39
1.29E-04,41.155
1.37E-04,44.437
1.46E-04,47.783
1.52E-04,50.048
1.58E-04,52.344
1.66E-04,55.839
1.75E-04,59.398
1.81E-04,61.806
1.87E-04,64.246
1.96E-04,67.958
2.04E-04,71.736
2.10E-04,74.29
2.16E-04,76.877
2.25E-04,80.811
2.33E-04,84.812
2.39E-04,87.515
2.45E-04,90.253
2.54E-04,94.413
2.62E-04,98.642
2.68E-04,101.5
2.74E-04,104.39
2.83E-04,108.78
2.92E-04,113.24
2.97E-04,116.25
3.03E-04,119.3
3.12E-04,123.93
3.21E-04,128.62
3.27E-04,131.79
3.32E-04,135
3.41E-04,139.87
3.50E-04,144.81
3.56E-04,148.13
3.62E-04,151.51
3.70E-04,156.62
3.79E-04,161.8
3.85E-04,165.29
3.91E-04,168.83
4.00E-04,174.19
4.08E-04,179.63
4.14E-04,183.28
4.20E-04,186.99
4.29E-04,192.61
4.38E-04,198.3
4.44E-04,202.12
4.49E-04,206
4.58E-04,211.88
4.67E-04,217.82
4.76E-04,219.06
4.81E-04,221.59
4.88E-04,223.39
4.97E-04,229.4
5.03E-04,233.35
5.27E-04,226.49
5.36E-04,223.42
5.47E-04,223.63
5.49E-04,222.25
5.54E-04,224.72
5.56E-04,220.18
5.62E-04,219.43
5.68E-04,219.5
5.71E-04,221.33
5.77E-04,225.02
5.83E-04,228.67
5.95E-04,233.6
6.05E-04,236.23
,
,
