displacement ,force
2.93E-06,0.79019
5.86E-06,1.5866
8.78E-06,2.3893
1.17E-05,3.1984
1.46E-05,4.0137
1.76E-05,4.8353
2.05E-05,5.6633
2.34E-05,6.4976
2.63E-05,7.3384
2.93E-05,8.1855
3.51E-05,9.8989
4.10E-05,11.638
4.97E-05,14.295
5.85E-05,17.011
6.43E-05,18.855
7.02E-05,20.724
7.89E-05,23.579
8.77E-05,26.493
9.35E-05,28.47
9.94E-05,30.474
1.08E-04,33.53
1.17E-04,36.648
1.23E-04,38.76
1.29E-04,40.901
1.37E-04,44.164
1.46E-04,47.49
1.52E-04,49.741
1.58E-04,52.022
1.66E-04,55.497
1.75E-04,59.035
1.81E-04,61.428
1.87E-04,63.854
1.96E-04,67.544
2.04E-04,71.299
2.10E-04,73.838
2.16E-04,76.41
2.25E-04,80.32
2.33E-04,84.298
2.39E-04,86.985
2.45E-04,89.707
2.54E-04,93.843
2.62E-04,98.047
2.68E-04,100.88
2.74E-04,103.76
2.83E-04,108.13
2.92E-04,112.56
2.97E-04,115.55
3.03E-04,118.58
3.12E-04,123.18
3.21E-04,127.85
3.27E-04,131
3.32E-04,134.19
3.41E-04,139.03
3.50E-04,143.94
3.56E-04,147.25
3.62E-04,150.61
3.70E-04,155.69
3.79E-04,160.85
3.85E-04,164.32
3.91E-04,167.84
3.99E-04,173.17
4.08E-04,178.57
4.14E-04,182.21
4.20E-04,185.9
4.29E-04,191.48
4.38E-04,197.14
4.43E-04,200.94
4.49E-04,204.8
4.58E-04,210.64
4.67E-04,216.56
4.73E-04,220.54
4.79E-04,224.57
4.87E-04,230.67
4.96E-04,236.85
5.02E-04,241
5.08E-04,245.22
5.17E-04,251.58
5.26E-04,258.03
5.32E-04,262.35
5.37E-04,266.75
5.46E-04,273.39
5.55E-04,280.11
5.61E-04,284.61
5.67E-04,289.19
5.76E-04,296.1
5.84E-04,303.1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
