displacement ,force
2.93E-06,0.79061
5.86E-06,1.5875
8.78E-06,2.3906
1.17E-05,3.2001
1.46E-05,4.0159
1.76E-05,4.8379
2.05E-05,5.6664
2.34E-05,6.5012
2.63E-05,7.3423
2.93E-05,8.1899
3.51E-05,9.9042
4.10E-05,11.644
4.97E-05,14.303
5.85E-05,17.02
6.43E-05,18.865
7.02E-05,20.736
7.89E-05,23.592
8.77E-05,26.508
9.35E-05,28.485
9.94E-05,30.49
1.08E-04,33.548
1.17E-04,36.667
1.23E-04,38.781
1.29E-04,40.923
1.37E-04,44.187
1.46E-04,47.515
1.52E-04,49.767
1.58E-04,52.05
1.66E-04,55.526
1.75E-04,59.066
1.81E-04,61.461
1.87E-04,63.887
1.96E-04,67.579
2.04E-04,71.337
2.10E-04,73.877
2.16E-04,76.45
2.25E-04,80.363
2.33E-04,84.342
2.39E-04,87.03
2.45E-04,89.754
2.54E-04,93.892
2.62E-04,98.098
2.68E-04,100.94
2.74E-04,103.81
2.83E-04,108.18
2.92E-04,112.62
2.97E-04,115.61
3.03E-04,118.65
3.12E-04,123.25
3.21E-04,127.92
3.27E-04,131.07
3.32E-04,134.26
3.41E-04,139.11
3.50E-04,144.02
3.56E-04,147.33
3.62E-04,150.68
3.70E-04,155.77
3.79E-04,160.93
3.85E-04,164.4
3.91E-04,167.92
3.99E-04,173.25
4.08E-04,178.66
4.14E-04,182.3
4.20E-04,185.99
4.29E-04,191.58
4.38E-04,197.24
4.43E-04,201.04
4.49E-04,204.91
4.58E-04,210.75
4.67E-04,216.67
4.73E-04,220.65
4.79E-04,224.69
4.87E-04,230.79
4.96E-04,236.97
5.02E-04,241.12
5.08E-04,245.34
5.17E-04,251.71
5.26E-04,258.16
5.32E-04,262.49
5.37E-04,266.89
5.46E-04,273.52
5.55E-04,280.25
5.61E-04,284.75
5.67E-04,289.34
5.76E-04,296.23
5.88E-04,300.1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
