displacement ,force
2.93E-06,0.79025
5.86E-06,1.5868
8.78E-06,2.3895
1.17E-05,3.1986
1.46E-05,4.014
1.76E-05,4.8357
2.05E-05,5.6637
2.34E-05,6.4981
2.63E-05,7.3389
2.93E-05,8.1861
3.51E-05,9.8996
4.10E-05,11.639
4.97E-05,14.296
5.85E-05,17.013
6.43E-05,18.856
7.02E-05,20.726
7.89E-05,23.581
8.77E-05,26.495
9.35E-05,28.472
9.94E-05,30.476
1.08E-04,33.532
1.17E-04,36.65
1.23E-04,38.763
1.29E-04,40.904
1.37E-04,44.167
1.46E-04,47.493
1.52E-04,49.745
1.58E-04,52.026
1.66E-04,55.501
1.75E-04,59.039
1.81E-04,61.433
1.87E-04,63.858
1.96E-04,67.549
2.04E-04,71.305
2.10E-04,73.843
2.16E-04,76.416
2.25E-04,80.326
2.33E-04,84.304
2.39E-04,86.991
2.45E-04,89.713
2.54E-04,93.849
2.62E-04,98.054
2.68E-04,100.89
2.74E-04,103.77
2.83E-04,108.13
2.92E-04,112.57
2.97E-04,115.56
3.03E-04,118.59
3.12E-04,123.19
3.21E-04,127.86
3.27E-04,131.01
3.32E-04,134.2
3.41E-04,139.04
3.50E-04,143.96
3.56E-04,147.26
3.62E-04,150.62
3.70E-04,155.7
3.79E-04,160.86
3.85E-04,164.33
3.91E-04,167.85
3.99E-04,173.18
4.08E-04,178.58
4.14E-04,182.22
4.20E-04,185.91
4.29E-04,191.49
4.38E-04,197.15
4.43E-04,200.96
4.49E-04,204.82
4.58E-04,210.66
4.67E-04,216.58
4.73E-04,220.55
4.79E-04,224.59
4.87E-04,230.69
4.96E-04,236.87
5.02E-04,241.02
5.08E-04,245.23
5.17E-04,251.6
5.26E-04,258.05
5.32E-04,262.37
5.37E-04,266.77
5.46E-04,273.41
5.55E-04,280.13
5.61E-04,284.63
5.67E-04,289.21
5.76E-04,296.12
5.84E-04,303.12
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
