displacement ,force
2.93E-06,0.78995
5.86E-06,1.59E+00
8.78E-06,2.39E+00
1.17E-05,3.20E+00
1.46E-05,4.01E+00
1.76E-05,4.83E+00
2.05E-05,5.66E+00
2.34E-05,6.50E+00
2.63E-05,7.34E+00
2.93E-05,8.18E+00
3.51E-05,9.90E+00
4.10E-05,1.16E+01
4.97E-05,1.43E+01
5.85E-05,1.70E+01
6.43E-05,1.88E+01
7.02E-05,2.07E+01
7.89E-05,2.36E+01
8.77E-05,2.65E+01
9.35E-05,2.85E+01
9.94E-05,3.05E+01
1.08E-04,3.35E+01
1.17E-04,36.637
1.23E-04,38.749
1.29E-04,40.889
1.37E-04,44.151
1.46E-04,47.476
1.52E-04,49.727
1.58E-04,52.007
1.66E-04,55.48
1.75E-04,59.018
1.81E-04,61.411
1.87E-04,63.835
1.96E-04,67.524
2.04E-04,71.279
2.10E-04,73.817
2.16E-04,76.388
2.25E-04,80.297
2.33E-04,84.274
2.39E-04,86.96
2.45E-04,89.681
2.54E-04,93.816
2.62E-04,98.019
2.68E-04,100.86
2.74E-04,103.73
2.83E-04,108.09
2.92E-04,112.53
2.97E-04,115.52
3.03E-04,118.55
3.12E-04,123.15
3.21E-04,127.82
3.27E-04,130.97
3.32E-04,134.16
3.41E-04,138.99
3.50E-04,143.9
3.56E-04,147.21
3.62E-04,150.56
3.70E-04,155.65
3.79E-04,160.8
3.85E-04,164.27
3.91E-04,167.79
3.99E-04,173.12
4.08E-04,178.52
4.14E-04,182.16
4.20E-04,185.85
4.29E-04,191.43
4.38E-04,197.08
4.43E-04,200.89
4.49E-04,204.75
4.58E-04,210.59
4.67E-04,216.5
4.73E-04,220.47
4.79E-04,224.51
4.87E-04,230.61
4.96E-04,236.79
5.02E-04,240.94
5.08E-04,245.15
5.17E-04,251.51
5.26E-04,257.96
5.32E-04,262.28
5.37E-04,266.68
5.46E-04,273.31
5.55E-04,280.03
5.61E-04,284.53
5.67E-04,289.11
5.76E-04,296.02
5.84E-04,303.01
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
