displacement ,force
2.93E-06,0.79128
5.86E-06,1.5888
8.78E-06,2.3927
1.17E-05,3.2028
1.46E-05,4.0192
1.76E-05,4.842
2.05E-05,5.6712
2.34E-05,6.5066
2.63E-05,7.3485
2.93E-05,8.1968
3.51E-05,9.9126
4.10E-05,11.654
4.97E-05,14.315
5.85E-05,17.035
6.43E-05,18.881
7.02E-05,20.753
7.89E-05,23.611
8.77E-05,26.53
9.35E-05,28.509
9.94E-05,30.515
1.08E-04,33.576
1.17E-04,36.698
1.23E-04,38.813
1.29E-04,40.957
1.37E-04,44.224
1.46E-04,47.554
1.52E-04,49.809
1.58E-04,52.093
1.66E-04,55.572
1.75E-04,59.115
1.81E-04,61.512
1.87E-04,63.94
1.96E-04,67.635
2.04E-04,71.396
2.10E-04,73.938
2.16E-04,76.513
2.25E-04,80.429
2.33E-04,84.412
2.39E-04,87.102
2.45E-04,89.827
2.54E-04,93.969
2.62E-04,98.178
2.68E-04,101.02
2.74E-04,103.9
2.83E-04,108.27
2.92E-04,112.71
2.97E-04,115.71
3.03E-04,118.74
3.12E-04,123.35
3.21E-04,128.02
3.27E-04,131.18
3.32E-04,134.37
3.41E-04,139.22
3.50E-04,144.13
3.56E-04,147.45
3.62E-04,150.81
3.70E-04,155.89
3.79E-04,161.06
3.85E-04,164.53
3.91E-04,168.06
3.99E-04,173.39
4.08E-04,178.8
4.14E-04,182.45
4.20E-04,186.14
4.29E-04,191.73
4.38E-04,197.39
4.43E-04,201.2
4.49E-04,205.07
4.58E-04,210.92
4.67E-04,216.84
4.73E-04,220.82
4.79E-04,224.86
4.87E-04,230.97
4.96E-04,237.16
5.02E-04,241.31
5.08E-04,245.53
5.17E-04,251.9
5.26E-04,258.36
5.32E-04,262.69
5.37E-04,267.09
5.46E-04,273.73
5.58E-04,277.92
5.64E-04,281.91
5.70E-04,285.16
5.76E-04,285.85
5.85E-04,292.61
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
