displacement ,force
2.93E-06,0.79014
5.86E-06,1.59E+00
8.78E-06,2.39E+00
1.17E-05,3.20E+00
1.46E-05,4.01E+00
1.76E-05,4.84E+00
2.05E-05,5.66E+00
2.34E-05,6.50E+00
2.63E-05,7.34E+00
2.93E-05,8.19E+00
3.51E-05,9.90E+00
4.10E-05,1.16E+01
4.97E-05,1.43E+01
5.85E-05,1.70E+01
6.43E-05,1.89E+01
7.02E-05,2.07E+01
7.89E-05,2.36E+01
8.77E-05,2.65E+01
9.35E-05,2.85E+01
9.94E-05,3.05E+01
1.08E-04,3.35E+01
1.17E-04,36.646
1.23E-04,38.758
1.29E-04,40.899
1.37E-04,44.161
1.46E-04,47.487
1.52E-04,49.738
1.58E-04,52.02
1.66E-04,55.494
1.75E-04,59.032
1.81E-04,61.425
1.87E-04,63.85
1.96E-04,67.54
2.04E-04,71.296
2.10E-04,73.834
2.16E-04,76.406
2.25E-04,80.316
2.33E-04,84.294
2.39E-04,86.98
2.45E-04,89.702
2.54E-04,93.838
2.62E-04,98.042
2.68E-04,100.88
2.74E-04,103.75
2.83E-04,108.12
2.92E-04,112.55
2.97E-04,115.55
3.03E-04,118.58
3.12E-04,123.18
3.21E-04,127.85
3.27E-04,131
3.32E-04,134.19
3.41E-04,139.03
3.50E-04,143.94
3.56E-04,147.25
3.62E-04,150.6
3.70E-04,155.68
3.79E-04,160.84
3.85E-04,164.31
3.91E-04,167.83
3.99E-04,173.16
4.08E-04,178.56
4.14E-04,182.2
4.20E-04,185.89
4.29E-04,191.47
4.38E-04,197.13
4.43E-04,200.93
4.49E-04,204.79
4.58E-04,210.63
4.67E-04,216.55
4.73E-04,220.52
4.79E-04,224.56
4.87E-04,230.66
4.96E-04,236.84
5.02E-04,240.99
5.08E-04,245.21
5.17E-04,251.57
5.26E-04,258.02
5.32E-04,262.34
5.37E-04,266.74
5.46E-04,273.37
5.55E-04,280.09
5.61E-04,284.6
5.67E-04,289.18
5.76E-04,296.09
5.84E-04,303.08
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
