displacement ,force
2.93E-06,0.79217
5.86E-06,1.5906
8.78E-06,2.3954
1.17E-05,3.2064
1.46E-05,4.0238
1.76E-05,4.8475
2.05E-05,5.6775
2.34E-05,6.514
2.63E-05,7.3568
2.93E-05,8.206
3.51E-05,9.9237
4.10E-05,11.667
4.97E-05,14.331
5.85E-05,17.054
6.43E-05,18.902
7.02E-05,20.776
7.89E-05,23.638
8.77E-05,26.559
9.35E-05,28.541
9.93E-05,30.549
1.08E-04,33.613
1.17E-04,36.738
1.23E-04,38.856
1.29E-04,41.002
1.37E-04,44.273
1.46E-04,47.607
1.52E-04,49.864
1.58E-04,52.151
1.66E-04,55.633
1.75E-04,59.18
1.81E-04,61.579
1.87E-04,64.01
1.96E-04,67.709
2.04E-04,71.474
2.10E-04,74.019
2.16E-04,76.597
2.25E-04,80.517
2.33E-04,84.504
2.39E-04,87.197
2.45E-04,89.925
2.54E-04,94.071
2.62E-04,98.285
2.68E-04,101.13
2.74E-04,104.01
2.83E-04,108.39
2.92E-04,112.83
2.97E-04,115.83
3.03E-04,118.87
3.12E-04,123.48
3.21E-04,128.16
3.27E-04,131.32
3.32E-04,134.52
3.41E-04,139.37
3.50E-04,144.29
3.56E-04,147.6
3.62E-04,150.97
3.70E-04,156.06
3.79E-04,161.23
3.85E-04,164.71
3.91E-04,168.23
3.99E-04,173.58
4.08E-04,178.99
4.14E-04,182.64
4.20E-04,186.34
4.29E-04,191.93
4.38E-04,197.6
4.43E-04,201.41
4.49E-04,205.28
4.58E-04,211.14
4.67E-04,217.07
4.73E-04,221.05
4.79E-04,225.1
4.88E-04,231.21
4.96E-04,237.4
5.02E-04,241.56
5.08E-04,245.79
5.17E-04,252.16
5.26E-04,258.62
5.32E-04,262.85
5.40E-04,264.16
5.46E-04,267
5.53E-04,268.44
5.56E-04,270.61
5.62E-04,274.98
5.68E-04,279.33
5.78E-04,285
5.86E-04,286.83
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
