displacement ,force
2.93E-06,0.79102
5.86E-06,1.5883
8.78E-06,2.3919
1.17E-05,3.2017
1.46E-05,4.0179
1.76E-05,4.8404
2.05E-05,5.6693
2.34E-05,6.5045
2.63E-05,7.3461
2.93E-05,8.1941
3.51E-05,9.9093
4.10E-05,11.65
4.97E-05,14.31
5.85E-05,17.029
6.43E-05,18.874
7.02E-05,20.746
7.89E-05,23.604
8.77E-05,26.521
9.35E-05,28.499
9.94E-05,30.505
1.08E-04,33.565
1.17E-04,36.686
1.23E-04,38.8
1.29E-04,40.943
1.37E-04,44.21
1.46E-04,47.539
1.52E-04,49.792
1.58E-04,52.076
1.66E-04,55.554
1.75E-04,59.096
1.81E-04,61.492
1.87E-04,63.919
1.96E-04,67.613
2.04E-04,71.373
2.10E-04,73.914
2.16E-04,76.488
2.25E-04,80.403
2.33E-04,84.384
2.39E-04,87.074
2.45E-04,89.798
2.54E-04,93.938
2.62E-04,98.147
2.68E-04,100.99
2.74E-04,103.87
2.83E-04,108.23
2.92E-04,112.67
2.97E-04,115.67
3.03E-04,118.7
3.12E-04,123.31
3.21E-04,127.98
3.27E-04,131.14
3.32E-04,134.33
3.41E-04,139.17
3.50E-04,144.09
3.56E-04,147.4
3.62E-04,150.76
3.70E-04,155.84
3.79E-04,161.01
3.85E-04,164.48
3.91E-04,168
3.99E-04,173.34
4.08E-04,178.75
4.14E-04,182.39
4.20E-04,186.08
4.29E-04,191.67
4.38E-04,197.33
4.43E-04,201.14
4.49E-04,205.01
4.58E-04,210.85
4.67E-04,216.77
4.73E-04,220.75
4.79E-04,224.79
4.87E-04,230.9
4.96E-04,237.08
5.02E-04,241.24
5.08E-04,245.46
5.17E-04,251.83
5.26E-04,258.28
5.32E-04,262.61
5.37E-04,267.01
5.46E-04,273.65
5.55E-04,280.37
5.61E-04,284.8
5.70E-04,286.44
5.76E-04,289.41
5.82E-04,290.3
5.85E-04,292.58
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
