displacement ,force
2.93E-06,0.79081
5.86E-06,1.5879
8.78E-06,2.3912
1.17E-05,3.2009
1.46E-05,4.0168
1.76E-05,4.8391
2.05E-05,5.6678
2.34E-05,6.5028
2.63E-05,7.3441
2.93E-05,8.1919
3.51E-05,9.9067
4.10E-05,11.647
4.97E-05,14.307
5.85E-05,17.025
6.43E-05,18.869
7.02E-05,20.741
7.89E-05,23.597
8.77E-05,26.514
9.35E-05,28.492
9.94E-05,30.497
1.08E-04,33.556
1.17E-04,36.676
1.23E-04,38.79
1.29E-04,40.933
1.37E-04,44.198
1.46E-04,47.526
1.52E-04,49.78
1.58E-04,52.063
1.66E-04,55.54
1.75E-04,59.081
1.81E-04,61.476
1.87E-04,63.903
1.96E-04,67.596
2.04E-04,71.354
2.10E-04,73.895
2.16E-04,76.469
2.25E-04,80.382
2.33E-04,84.363
2.39E-04,87.051
2.45E-04,89.775
2.54E-04,93.914
2.62E-04,98.122
2.68E-04,100.96
2.74E-04,103.84
2.83E-04,108.21
2.92E-04,112.65
2.97E-04,115.64
3.03E-04,118.67
3.12E-04,123.28
3.21E-04,127.95
3.27E-04,131.1
3.32E-04,134.3
3.41E-04,139.14
3.50E-04,144.05
3.56E-04,147.36
3.62E-04,150.72
3.70E-04,155.81
3.79E-04,160.97
3.85E-04,164.44
3.91E-04,167.96
3.99E-04,173.3
4.08E-04,178.7
4.14E-04,182.34
4.20E-04,186.04
4.29E-04,191.62
4.38E-04,197.28
4.43E-04,201.09
4.49E-04,204.96
4.58E-04,210.8
4.67E-04,216.72
4.73E-04,220.7
4.79E-04,224.74
4.87E-04,230.84
4.96E-04,237.03
5.02E-04,241.18
5.08E-04,245.4
5.17E-04,251.77
5.26E-04,258.22
5.32E-04,262.54
5.37E-04,266.95
5.46E-04,273.59
5.55E-04,280.31
5.61E-04,284.81
5.67E-04,289.37
5.79E-04,293.18
5.88E-04,298.21
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
