displacement ,force
2.93E-06,0.79001
5.86E-06,1.59E+00
8.78E-06,2.39E+00
1.17E-05,3.20E+00
1.46E-05,4.01E+00
1.76E-05,4.83E+00
2.05E-05,5.66E+00
2.34E-05,6.50E+00
2.63E-05,7.34E+00
2.93E-05,8.18E+00
3.51E-05,9.90E+00
4.10E-05,1.16E+01
4.97E-05,1.43E+01
5.85E-05,1.70E+01
6.43E-05,1.89E+01
7.02E-05,2.07E+01
7.89E-05,2.36E+01
8.77E-05,2.65E+01
9.35E-05,2.85E+01
9.94E-05,3.05E+01
1.08E-04,3.35E+01
1.17E-04,36.64
1.23E-04,38.752
1.29E-04,40.892
1.37E-04,44.154
1.46E-04,47.479
1.52E-04,49.73
1.58E-04,52.011
1.66E-04,55.485
1.75E-04,59.022
1.81E-04,61.415
1.87E-04,63.84
1.96E-04,67.529
2.04E-04,71.284
2.10E-04,73.822
2.16E-04,76.394
2.25E-04,80.303
2.33E-04,84.28
2.39E-04,86.966
2.45E-04,89.688
2.54E-04,93.823
2.62E-04,98.026
2.68E-04,100.86
2.74E-04,103.74
2.83E-04,108.1
2.92E-04,112.54
2.97E-04,115.53
3.03E-04,118.56
3.12E-04,123.16
3.21E-04,127.83
3.27E-04,130.98
3.32E-04,134.17
3.41E-04,139
3.50E-04,143.91
3.56E-04,147.22
3.62E-04,150.58
3.70E-04,155.66
3.79E-04,160.81
3.85E-04,164.28
3.91E-04,167.8
3.99E-04,173.13
4.08E-04,178.54
4.14E-04,182.17
4.20E-04,185.86
4.29E-04,191.44
4.38E-04,197.1
4.43E-04,200.9
4.49E-04,204.76
4.58E-04,210.6
4.67E-04,216.52
4.73E-04,220.49
4.79E-04,224.53
4.87E-04,230.63
4.96E-04,236.81
5.02E-04,240.95
5.08E-04,245.17
5.17E-04,251.53
5.26E-04,257.98
5.32E-04,262.3
5.37E-04,266.7
5.46E-04,273.33
5.55E-04,280.05
5.61E-04,284.55
5.67E-04,289.13
5.76E-04,296.04
5.84E-04,303.04
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
