displacement ,force
2.68E-06,0.71484
5.36E-06,1.4352
8.04E-06,2.1612
1.07E-05,2.8927
1.34E-05,3.6298
1.61E-05,4.3725
1.88E-05,5.1208
2.14E-05,5.8748
2.41E-05,6.6344
2.68E-05,7.3997
3.22E-05,8.9474
3.75E-05,10.518
4.56E-05,12.917
5.36E-05,15.368
5.90E-05,17.032
6.43E-05,18.719
7.24E-05,21.294
8.04E-05,23.922
8.58E-05,25.705
9.12E-05,27.512
9.92E-05,30.267
1.07E-04,33.078
1.13E-04,34.983
1.18E-04,36.913
1.26E-04,39.855
1.34E-04,42.853
1.40E-04,44.883
1.45E-04,46.939
1.53E-04,50.072
1.61E-04,53.262
1.67E-04,55.421
1.72E-04,57.608
1.80E-04,60.936
1.88E-04,64.323
1.94E-04,66.614
1.99E-04,68.934
2.07E-04,72.463
2.15E-04,76.053
2.21E-04,78.479
2.26E-04,80.935
2.34E-04,84.67
2.42E-04,88.467
2.48E-04,91.032
2.53E-04,93.628
2.61E-04,97.574
2.69E-04,101.58
2.75E-04,104.29
2.80E-04,107.03
2.88E-04,111.19
2.96E-04,115.42
3.02E-04,118.27
3.07E-04,121.16
3.15E-04,125.54
3.24E-04,129.99
3.29E-04,132.99
3.35E-04,136.03
3.43E-04,140.63
3.51E-04,145.31
3.56E-04,148.46
3.62E-04,151.66
3.70E-04,156.49
3.78E-04,161.4
3.84E-04,164.71
3.89E-04,168.06
3.97E-04,173.14
4.06E-04,178.28
4.11E-04,181.75
4.17E-04,185.26
4.25E-04,190.58
4.33E-04,195.97
4.39E-04,199.59
4.44E-04,203.27
4.52E-04,208.81
4.62E-04,210.44
4.65E-04,210.04
4.71E-04,213.76
4.79E-04,219.37
4.88E-04,224.73
4.99E-04,220.18
5.09E-04,213.23
5.21E-04,209.57
5.27E-04,208.95
5.29E-04,209.12
5.33E-04,209.22
5.36E-04,210.52
5.38E-04,211.39
5.41E-04,212.43
5.43E-04,210.71
5.46E-04,211.99
5.49E-04,213.13
