displacement ,force
2.93E-06,0.79053
5.86E-06,1.5873
8.78E-06,2.3904
1.17E-05,3.1997
1.46E-05,4.0154
1.76E-05,4.8374
2.05E-05,5.6658
2.34E-05,6.5005
2.63E-05,7.3415
2.93E-05,8.189
3.51E-05,9.9031
4.10E-05,11.643
4.97E-05,14.302
5.85E-05,17.019
6.43E-05,18.863
7.02E-05,20.733
7.89E-05,23.589
8.77E-05,26.505
9.35E-05,28.482
9.94E-05,30.487
1.08E-04,33.544
1.17E-04,36.663
1.23E-04,38.777
1.29E-04,40.918
1.37E-04,44.183
1.46E-04,47.51
1.52E-04,49.762
1.58E-04,52.045
1.66E-04,55.52
1.75E-04,59.06
1.81E-04,61.455
1.87E-04,63.881
1.96E-04,67.572
2.04E-04,71.329
2.10E-04,73.869
2.16E-04,76.442
2.25E-04,80.354
2.33E-04,84.334
2.39E-04,87.021
2.45E-04,89.744
2.54E-04,93.882
2.62E-04,98.088
2.68E-04,100.93
2.74E-04,103.8
2.83E-04,108.17
2.92E-04,112.61
2.97E-04,115.6
3.03E-04,118.63
3.12E-04,123.23
3.21E-04,127.91
3.27E-04,131.06
3.32E-04,134.25
3.41E-04,139.09
3.50E-04,144
3.56E-04,147.31
3.62E-04,150.67
3.70E-04,155.75
3.79E-04,160.91
3.85E-04,164.38
3.91E-04,167.9
3.99E-04,173.24
4.08E-04,178.64
4.14E-04,182.28
4.20E-04,185.97
4.29E-04,191.56
4.38E-04,197.22
4.43E-04,201.02
4.49E-04,204.89
4.58E-04,210.73
4.67E-04,216.65
4.73E-04,220.62
4.79E-04,224.66
4.87E-04,230.77
4.96E-04,236.95
5.02E-04,241.1
5.08E-04,245.32
5.17E-04,251.68
5.26E-04,258.13
5.32E-04,262.46
5.37E-04,266.86
5.46E-04,273.5
5.55E-04,280.22
5.61E-04,284.72
5.67E-04,289.31
5.76E-04,296.21
5.85E-04,302.85
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
