displacement ,force
2.93E-06,0.79288
5.86E-06,1.592
8.78E-06,2.3975
1.17E-05,3.2092
1.46E-05,4.0273
1.76E-05,4.8518
2.05E-05,5.6826
2.34E-05,6.5197
2.63E-05,7.3633
2.93E-05,8.2133
3.51E-05,9.9325
4.10E-05,11.678
4.97E-05,14.344
5.85E-05,17.069
6.43E-05,18.918
7.02E-05,20.795
7.89E-05,23.659
8.77E-05,26.583
9.35E-05,28.566
9.93E-05,30.576
1.08E-04,33.643
1.17E-04,36.771
1.23E-04,38.89
1.29E-04,41.038
1.37E-04,44.312
1.46E-04,47.649
1.52E-04,49.907
1.58E-04,52.196
1.66E-04,55.682
1.75E-04,59.232
1.81E-04,61.633
1.87E-04,64.066
1.96E-04,67.768
2.04E-04,71.536
2.10E-04,74.083
2.16E-04,76.663
2.25E-04,80.586
2.33E-04,84.577
2.39E-04,87.272
2.45E-04,90.003
2.54E-04,94.152
2.62E-04,98.369
2.68E-04,101.22
2.74E-04,104.1
2.83E-04,108.48
2.92E-04,112.93
2.97E-04,115.93
3.03E-04,118.97
3.12E-04,123.59
3.21E-04,128.27
3.27E-04,131.43
3.32E-04,134.63
3.41E-04,139.48
3.50E-04,144.41
3.56E-04,147.73
3.62E-04,151.09
3.70E-04,156.19
3.79E-04,161.36
3.85E-04,164.84
3.91E-04,168.38
4.00E-04,173.72
4.08E-04,179.14
4.14E-04,182.79
4.20E-04,186.49
4.29E-04,192.09
4.38E-04,197.77
4.43E-04,201.58
4.49E-04,205.45
4.58E-04,211.31
4.67E-04,217.25
4.73E-04,221.23
4.79E-04,225.28
4.88E-04,231.4
4.96E-04,237.6
5.02E-04,241.75
5.08E-04,245.96
5.20E-04,249.16
5.28E-04,253.22
5.32E-04,253.61
5.38E-04,257.82
5.47E-04,264.18
5.58E-04,269.53
5.63E-04,273.55
5.73E-04,264.3
5.87E-04,253.95
6.01E-04,247.29
6.04E-04,248.27
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
