displacement ,force
2.93E-06,0.79311
5.86E-06,1.5925
8.78E-06,2.3982
1.17E-05,3.2102
1.46E-05,4.0285
1.76E-05,4.8532
2.05E-05,5.6842
2.34E-05,6.5217
2.63E-05,7.3655
2.93E-05,8.2157
3.51E-05,9.9354
4.10E-05,11.681
4.97E-05,14.348
5.85E-05,17.074
6.43E-05,18.924
7.02E-05,20.801
7.89E-05,23.665
8.77E-05,26.591
9.35E-05,28.574
9.93E-05,30.585
1.08E-04,33.652
1.17E-04,36.781
1.23E-04,38.901
1.29E-04,41.05
1.37E-04,44.325
1.46E-04,47.662
1.52E-04,49.922
1.58E-04,52.211
1.66E-04,55.698
1.75E-04,59.249
1.81E-04,61.651
1.87E-04,64.084
1.96E-04,67.788
2.04E-04,71.556
2.10E-04,74.104
2.16E-04,76.685
2.25E-04,80.609
2.33E-04,84.601
2.39E-04,87.297
2.45E-04,90.028
2.54E-04,94.178
2.62E-04,98.397
2.68E-04,101.24
2.74E-04,104.13
2.83E-04,108.51
2.92E-04,112.96
2.97E-04,115.96
3.03E-04,119
3.12E-04,123.62
3.21E-04,128.31
3.27E-04,131.47
3.32E-04,134.67
3.41E-04,139.52
3.50E-04,144.45
3.56E-04,147.77
3.62E-04,151.14
3.70E-04,156.23
3.79E-04,161.41
3.85E-04,164.89
3.91E-04,168.42
4.00E-04,173.77
4.08E-04,179.19
4.14E-04,182.84
4.20E-04,186.54
4.29E-04,192.14
4.38E-04,197.82
4.43E-04,201.64
4.49E-04,205.51
4.58E-04,211.37
4.67E-04,217.31
4.73E-04,221.29
4.79E-04,225.34
4.88E-04,231.46
4.96E-04,237.66
5.02E-04,241.81
5.11E-04,243.53
5.17E-04,246.4
5.23E-04,247.34
5.26E-04,249.45
5.32E-04,253.65
5.38E-04,257.86
5.49E-04,263.37
5.57E-04,269.81
5.66E-04,256.79
5.75E-04,244.27
5.81E-04,243.42
5.90E-04,246.85
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
