displacement ,force
2.93E-06,0.7945
5.86E-06,1.5953
8.78E-06,2.4024
1.17E-05,3.2158
1.46E-05,4.0356
1.76E-05,4.8617
2.05E-05,5.6941
2.34E-05,6.533
2.63E-05,7.3783
2.93E-05,8.23
3.51E-05,9.9527
4.10E-05,11.701
4.97E-05,14.373
5.85E-05,17.104
6.43E-05,18.957
7.02E-05,20.837
7.89E-05,23.706
8.77E-05,26.637
9.35E-05,28.623
9.93E-05,30.638
1.08E-04,33.71
1.17E-04,36.845
1.23E-04,38.968
1.29E-04,41.121
1.37E-04,44.401
1.46E-04,47.744
1.52E-04,50.007
1.58E-04,52.301
1.66E-04,55.793
1.75E-04,59.35
1.81E-04,61.756
1.87E-04,64.194
1.96E-04,67.903
2.04E-04,71.678
2.10E-04,74.23
2.16E-04,76.815
2.25E-04,80.746
2.33E-04,84.744
2.39E-04,87.444
2.45E-04,90.18
2.54E-04,94.337
2.62E-04,98.563
2.68E-04,101.41
2.74E-04,104.3
2.83E-04,108.69
2.92E-04,113.15
2.97E-04,116.16
3.03E-04,119.2
3.12E-04,123.83
3.21E-04,128.52
3.27E-04,131.68
3.32E-04,134.89
3.41E-04,139.75
3.50E-04,144.69
3.56E-04,148.01
3.62E-04,151.39
3.70E-04,156.49
3.79E-04,161.67
3.85E-04,165.16
3.91E-04,168.7
4.00E-04,174.05
4.08E-04,179.49
4.14E-04,183.14
4.20E-04,186.85
4.29E-04,192.46
4.38E-04,198.14
4.44E-04,201.96
4.49E-04,205.85
4.58E-04,211.71
4.67E-04,217.66
4.73E-04,221.65
4.79E-04,225.68
4.90E-04,228.38
4.97E-04,229.23
5.03E-04,233.27
5.09E-04,237.36
5.19E-04,242.96
5.24E-04,245.26
5.28E-04,246.02
5.33E-04,245.53
5.48E-04,227.81
5.57E-04,223.89
5.61E-04,224.48
5.66E-04,224.69
5.70E-04,226.18
5.74E-04,227.59
5.79E-04,230.77
5.85E-04,233.45
5.94E-04,236.95
6.04E-04,238.84
