displacement ,force
9.76E-07,0.26375
1.95E-06,0.5282
2.93E-06,0.79335
3.90E-06,1.0592
4.88E-06,1.3257
5.86E-06,1.593
6.83E-06,1.8609
7.81E-06,2.1296
8.78E-06,2.3989
9.76E-06,2.669
1.07E-05,2.9397
1.17E-05,3.2112
1.27E-05,3.4833
1.37E-05,3.7562
1.46E-05,4.0297
1.56E-05,4.304
1.66E-05,4.579
1.76E-05,4.8546
1.85E-05,5.131
1.95E-05,5.4081
2.05E-05,5.6859
2.15E-05,5.9644
2.24E-05,6.2437
2.34E-05,6.5236
2.44E-05,6.8042
2.54E-05,7.0856
2.63E-05,7.3677
2.73E-05,7.6504
2.83E-05,7.9339
2.93E-05,8.2181
3.51E-05,9.9384
4.10E-05,11.684
4.97E-05,14.352
5.85E-05,17.079
6.43E-05,18.93
7.02E-05,20.807
7.89E-05,23.672
8.77E-05,26.598
9.35E-05,28.582
9.93E-05,30.594
1.08E-04,33.662
1.17E-04,36.792
1.23E-04,38.913
1.29E-04,41.062
1.37E-04,44.338
1.46E-04,47.676
1.52E-04,49.936
1.58E-04,52.227
1.66E-04,55.714
1.75E-04,59.266
1.81E-04,61.669
1.87E-04,64.103
1.96E-04,67.807
2.04E-04,71.577
2.10E-04,74.126
2.16E-04,76.707
2.25E-04,80.633
2.33E-04,84.625
2.39E-04,87.322
2.45E-04,90.054
2.54E-04,94.206
2.62E-04,98.426
2.68E-04,101.27
2.74E-04,104.16
2.83E-04,108.54
2.92E-04,112.99
2.97E-04,116
3.03E-04,119.04
3.12E-04,123.66
3.21E-04,128.34
3.27E-04,131.5
3.32E-04,134.71
3.41E-04,139.56
3.50E-04,144.49
3.56E-04,147.81
3.62E-04,151.18
3.70E-04,156.28
3.79E-04,161.45
3.85E-04,164.94
3.91E-04,168.47
4.00E-04,173.82
4.08E-04,179.24
4.14E-04,182.89
4.20E-04,186.59
4.29E-04,192.2
4.38E-04,197.88
4.43E-04,201.69
4.49E-04,205.57
4.58E-04,211.43
4.67E-04,217.37
4.73E-04,221.35
4.79E-04,225.41
4.88E-04,231.53
4.96E-04,237.72
5.05E-04,239.43
5.11E-04,242.38
5.17E-04,243.25
5.26E-04,249.49
5.29E-04,251.18
5.31E-04,252.84
5.35E-04,255.29
5.39E-04,257.61
5.43E-04,258.63
5.50E-04,252.07
5.58E-04,245.14
5.66E-04,240.62
5.69E-04,239.72
5.71E-04,239.51
5.73E-04,239.62
