displacement ,force
2.93E-06,0.7959
5.86E-06,1.5981
8.78E-06,2.4066
1.17E-05,3.2215
1.46E-05,4.0427
1.76E-05,4.8702
2.05E-05,5.7042
2.34E-05,6.5445
2.63E-05,7.3913
2.93E-05,8.2445
3.51E-05,9.9702
4.10E-05,11.722
4.97E-05,14.398
5.85E-05,17.133
6.43E-05,18.99
7.02E-05,20.873
7.89E-05,23.748
8.77E-05,26.683
9.35E-05,28.673
9.93E-05,30.691
1.08E-04,33.769
1.17E-04,36.909
1.23E-04,39.036
1.29E-04,41.192
1.37E-04,44.478
1.46E-04,47.827
1.52E-04,50.094
1.58E-04,52.391
1.66E-04,55.889
1.75E-04,59.452
1.81E-04,61.862
1.87E-04,64.304
1.96E-04,68.02
2.04E-04,71.801
2.10E-04,74.357
2.16E-04,76.947
2.25E-04,80.884
2.33E-04,84.889
2.39E-04,87.594
2.45E-04,90.334
2.54E-04,94.498
2.62E-04,98.73
2.68E-04,101.59
2.74E-04,104.48
2.83E-04,108.88
2.92E-04,113.34
2.97E-04,116.35
3.03E-04,119.4
3.12E-04,124.04
3.21E-04,128.74
3.27E-04,131.91
3.32E-04,135.12
3.41E-04,139.99
3.50E-04,144.93
3.56E-04,148.26
3.62E-04,151.64
3.70E-04,156.75
3.79E-04,161.94
3.85E-04,165.44
3.91E-04,168.98
4.00E-04,174.34
4.08E-04,179.78
4.14E-04,183.44
4.20E-04,187.16
4.29E-04,192.77
4.38E-04,198.47
4.44E-04,202.3
4.49E-04,206.18
4.58E-04,212.04
4.70E-04,214.29
4.73E-04,213.73
4.79E-04,217.66
4.88E-04,223.57
4.99E-04,228.58
5.05E-04,229.69
5.26E-04,211.48
5.28E-04,209.55
5.31E-04,209.3
5.36E-04,210.25
5.44E-04,209.99
5.50E-04,213.28
5.56E-04,216.22
5.64E-04,220.02
5.73E-04,220.7
5.82E-04,223.5
5.93E-04,224.29
6.01E-04,225.22
6.19E-04,222.14
6.21E-04,219.47
,
,
,
,
,
,
,
,
,
,
,
,
,
,
