displacement ,force
2.93E-06,0.79171
5.86E-06,1.5897
8.78E-06,2.394
1.17E-05,3.2045
1.46E-05,4.0214
1.76E-05,4.8446
2.05E-05,5.6742
2.34E-05,6.5102
2.63E-05,7.3525
2.93E-05,8.2012
3.51E-05,9.9179
4.10E-05,11.66
4.97E-05,14.323
5.85E-05,17.044
6.43E-05,18.891
7.02E-05,20.764
7.89E-05,23.624
8.77E-05,26.544
9.35E-05,28.524
9.94E-05,30.532
1.08E-04,33.594
1.17E-04,36.717
1.23E-04,38.834
1.29E-04,40.979
1.37E-04,44.248
1.46E-04,47.58
1.52E-04,49.835
1.58E-04,52.121
1.66E-04,55.602
1.75E-04,59.147
1.81E-04,61.544
1.87E-04,63.974
1.96E-04,67.671
2.04E-04,71.433
2.10E-04,73.977
2.16E-04,76.553
2.25E-04,80.471
2.33E-04,84.456
2.39E-04,87.148
2.45E-04,89.874
2.54E-04,94.018
2.62E-04,98.23
2.68E-04,101.07
2.74E-04,103.95
2.83E-04,108.33
2.92E-04,112.77
2.97E-04,115.77
3.03E-04,118.8
3.12E-04,123.41
3.21E-04,128.09
3.27E-04,131.24
3.32E-04,134.44
3.41E-04,139.29
3.50E-04,144.21
3.56E-04,147.52
3.62E-04,150.88
3.70E-04,155.97
3.79E-04,161.14
3.85E-04,164.62
3.91E-04,168.14
3.99E-04,173.48
4.08E-04,178.9
4.14E-04,182.54
4.20E-04,186.23
4.29E-04,191.83
4.38E-04,197.49
4.43E-04,201.3
4.49E-04,205.17
4.58E-04,211.02
4.67E-04,216.95
4.73E-04,220.93
4.79E-04,224.98
4.88E-04,231.09
4.96E-04,237.28
5.02E-04,241.43
5.08E-04,245.65
5.17E-04,252.03
5.26E-04,258.49
5.32E-04,262.81
5.38E-04,267.19
5.49E-04,270.49
5.57E-04,274.44
5.61E-04,274.81
5.67E-04,279.29
5.77E-04,285.91
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
