displacement ,force
2.93E-06,0.79156
5.86E-06,1.5894
8.78E-06,2.3935
1.17E-05,3.2039
1.46E-05,4.0207
1.76E-05,4.8437
2.05E-05,5.6732
2.34E-05,6.509
2.63E-05,7.3511
2.93E-05,8.1997
3.51E-05,9.9161
4.10E-05,11.658
4.97E-05,14.32
5.85E-05,17.041
6.43E-05,18.887
7.02E-05,20.76
7.89E-05,23.62
8.77E-05,26.539
9.35E-05,28.519
9.94E-05,30.526
1.08E-04,33.588
1.17E-04,36.711
1.23E-04,38.827
1.29E-04,40.971
1.37E-04,44.24
1.46E-04,47.571
1.52E-04,49.826
1.58E-04,52.112
1.66E-04,55.591
1.75E-04,59.136
1.81E-04,61.533
1.87E-04,63.962
1.96E-04,67.659
2.04E-04,71.421
2.10E-04,73.963
2.16E-04,76.54
2.25E-04,80.457
2.33E-04,84.441
2.39E-04,87.132
2.45E-04,89.858
2.54E-04,94.001
2.62E-04,98.212
2.68E-04,101.05
2.74E-04,103.93
2.83E-04,108.31
2.92E-04,112.75
2.97E-04,115.75
3.03E-04,118.78
3.12E-04,123.39
3.21E-04,128.07
3.27E-04,131.22
3.32E-04,134.42
3.41E-04,139.26
3.50E-04,144.18
3.56E-04,147.5
3.62E-04,150.86
3.70E-04,155.95
3.79E-04,161.11
3.85E-04,164.59
3.91E-04,168.11
3.99E-04,173.45
4.08E-04,178.86
4.14E-04,182.51
4.20E-04,186.2
4.29E-04,191.79
4.38E-04,197.46
4.43E-04,201.27
4.49E-04,205.14
4.58E-04,210.99
4.67E-04,216.91
4.73E-04,220.89
4.79E-04,224.94
4.88E-04,231.05
4.96E-04,237.24
5.02E-04,241.39
5.08E-04,245.61
5.17E-04,251.99
5.26E-04,258.44
5.32E-04,262.77
5.38E-04,267.17
5.49E-04,271.3
5.58E-04,276.11
5.63E-04,279.08
5.67E-04,279.28
5.72E-04,280.72
5.77E-04,283.77
5.81E-04,286.46
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
