displacement ,force
2.93E-06,0.79115
5.86E-06,1.5886
8.78E-06,2.3923
1.17E-05,3.2023
1.46E-05,4.0186
1.76E-05,4.8412
2.05E-05,5.6702
2.34E-05,6.5055
2.63E-05,7.3473
2.93E-05,8.1954
3.51E-05,9.9109
4.10E-05,11.652
4.97E-05,14.313
5.85E-05,17.032
6.43E-05,18.877
7.02E-05,20.75
7.89E-05,23.607
8.77E-05,26.525
9.35E-05,28.504
9.94E-05,30.51
1.08E-04,33.57
1.17E-04,36.692
1.23E-04,38.806
1.29E-04,40.95
1.37E-04,44.217
1.46E-04,47.546
1.52E-04,49.8
1.58E-04,52.085
1.66E-04,55.563
1.75E-04,59.105
1.81E-04,61.502
1.87E-04,63.93
1.96E-04,67.624
2.04E-04,71.384
2.10E-04,73.925
2.16E-04,76.5
2.25E-04,80.415
2.33E-04,84.398
2.39E-04,87.087
2.45E-04,89.813
2.54E-04,93.953
2.62E-04,98.162
2.68E-04,101
2.74E-04,103.88
2.83E-04,108.25
2.92E-04,112.69
2.97E-04,115.69
3.03E-04,118.72
3.12E-04,123.33
3.21E-04,128
3.27E-04,131.16
3.32E-04,134.35
3.41E-04,139.19
3.50E-04,144.11
3.56E-04,147.42
3.62E-04,150.78
3.70E-04,155.87
3.79E-04,161.03
3.85E-04,164.5
3.91E-04,168.03
3.99E-04,173.36
4.08E-04,178.78
4.14E-04,182.42
4.20E-04,186.11
4.29E-04,191.7
4.38E-04,197.36
4.43E-04,201.17
4.49E-04,205.04
4.58E-04,210.88
4.67E-04,216.81
4.73E-04,220.78
4.79E-04,224.83
4.87E-04,230.93
4.96E-04,237.12
5.02E-04,241.27
5.08E-04,245.49
5.17E-04,251.87
5.26E-04,258.32
5.32E-04,262.65
5.37E-04,267.05
5.46E-04,273.69
5.55E-04,280.39
5.64E-04,282.25
5.70E-04,285.3
5.76E-04,285.82
5.85E-04,292.54
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
