displacement ,force
2.93E-06,0.78951
5.86E-06,1.579
8.79E-06,2.3685
1.17E-05,3.1581
1.46E-05,3.9476
1.76E-05,4.7371
2.05E-05,5.5266
2.34E-05,6.3161
2.64E-05,7.1056
2.93E-05,7.8951
3.51E-05,9.4742
4.10E-05,11.053
4.98E-05,13.422
5.86E-05,15.79
6.44E-05,17.369
7.03E-05,18.948
7.91E-05,21.317
8.79E-05,23.685
9.37E-05,25.264
9.96E-05,26.843
1.08E-04,29.212
1.17E-04,31.581
1.23E-04,33.16
1.29E-04,34.739
1.38E-04,37.107
1.46E-04,39.476
1.52E-04,41.055
1.58E-04,42.634
1.67E-04,45.002
1.76E-04,47.371
1.82E-04,48.95
1.87E-04,50.529
1.96E-04,52.897
2.05E-04,55.266
2.11E-04,56.845
2.17E-04,58.424
2.26E-04,60.793
2.34E-04,63.161
2.40E-04,64.74
2.46E-04,66.319
2.55E-04,68.688
2.64E-04,71.056
2.69E-04,72.635
2.75E-04,74.214
2.84E-04,76.583
2.93E-04,78.951
2.99E-04,80.53
3.05E-04,82.109
3.13E-04,84.478
3.22E-04,86.846
3.28E-04,88.425
3.34E-04,90.005
3.43E-04,92.373
3.51E-04,94.742
3.57E-04,96.321
3.63E-04,97.9
3.72E-04,100.27
3.81E-04,102.64
3.87E-04,104.22
3.92E-04,105.79
4.01E-04,108.16
4.10E-04,110.53
4.16E-04,112.11
4.22E-04,113.69
4.31E-04,116.06
4.39E-04,118.43
4.45E-04,120.01
4.51E-04,121.59
4.60E-04,123.95
4.69E-04,126.32
4.74E-04,127.9
4.80E-04,129.48
4.89E-04,131.85
4.98E-04,134.22
5.04E-04,135.8
5.10E-04,137.38
5.18E-04,139.74
5.27E-04,142.11
5.33E-04,143.69
5.39E-04,145.24
5.53E-04,145.23
5.61E-04,146.5
5.65E-04,144.87
5.71E-04,146.38
5.80E-04,148.63
5.90E-04,150.69
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
