displacement ,force
2.93E-06,0.7909
5.86E-06,1.5881
8.78E-06,2.3915
1.17E-05,3.2013
1.46E-05,4.0173
1.76E-05,4.8397
2.05E-05,5.6684
2.34E-05,6.5035
2.63E-05,7.345
2.93E-05,8.1929
3.51E-05,9.9078
4.10E-05,11.649
4.97E-05,14.308
5.85E-05,17.027
6.43E-05,18.872
7.02E-05,20.743
7.89E-05,23.6
8.77E-05,26.517
9.35E-05,28.495
9.94E-05,30.501
1.08E-04,33.56
1.17E-04,36.68
1.23E-04,38.795
1.29E-04,40.938
1.37E-04,44.203
1.46E-04,47.532
1.52E-04,49.785
1.58E-04,52.069
1.66E-04,55.546
1.75E-04,59.087
1.81E-04,61.483
1.87E-04,63.91
1.96E-04,67.603
2.04E-04,71.362
2.10E-04,73.903
2.16E-04,76.477
2.25E-04,80.391
2.33E-04,84.372
2.39E-04,87.061
2.45E-04,89.786
2.54E-04,93.925
2.62E-04,98.133
2.68E-04,100.97
2.74E-04,103.85
2.83E-04,108.22
2.92E-04,112.66
2.97E-04,115.65
3.03E-04,118.69
3.12E-04,123.29
3.21E-04,127.97
3.27E-04,131.12
3.32E-04,134.31
3.41E-04,139.15
3.50E-04,144.07
3.56E-04,147.38
3.62E-04,150.74
3.70E-04,155.82
3.79E-04,160.98
3.85E-04,164.46
3.91E-04,167.98
3.99E-04,173.31
4.08E-04,178.72
4.14E-04,182.36
4.20E-04,186.06
4.29E-04,191.64
4.38E-04,197.31
4.43E-04,201.11
4.49E-04,204.98
4.58E-04,210.82
4.67E-04,216.74
4.73E-04,220.72
4.79E-04,224.76
4.87E-04,230.87
4.96E-04,237.05
5.02E-04,241.2
5.08E-04,245.42
5.17E-04,251.79
5.26E-04,258.25
5.32E-04,262.57
5.37E-04,266.97
5.46E-04,273.61
5.55E-04,280.34
5.61E-04,284.83
5.70E-04,289.1
5.76E-04,290.57
5.82E-04,293.63
5.85E-04,296.23
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
