displacement ,force
2.93E-06,0.78989
5.86E-06,1.59E+00
8.78E-06,2.39E+00
1.17E-05,3.20E+00
1.46E-05,4.01E+00
1.76E-05,4.83E+00
2.05E-05,5.66E+00
2.34E-05,6.50E+00
2.63E-05,7.34E+00
2.93E-05,8.18E+00
3.51E-05,9.90E+00
4.10E-05,1.16E+01
4.97E-05,1.43E+01
5.85E-05,1.70E+01
6.43E-05,1.88E+01
7.02E-05,2.07E+01
7.89E-05,2.36E+01
8.77E-05,2.65E+01
9.35E-05,2.85E+01
9.94E-05,3.05E+01
1.08E-04,3.35E+01
1.17E-04,36.634
1.23E-04,38.745
1.29E-04,40.886
1.37E-04,44.147
1.46E-04,47.472
1.52E-04,49.722
1.58E-04,52.003
1.66E-04,55.476
1.75E-04,59.013
1.81E-04,61.406
1.87E-04,63.83
1.96E-04,67.519
2.04E-04,71.273
2.10E-04,73.811
2.16E-04,76.382
2.25E-04,80.291
2.33E-04,84.267
2.39E-04,86.953
2.45E-04,89.674
2.54E-04,93.808
2.62E-04,98.011
2.68E-04,100.85
2.74E-04,103.72
2.83E-04,108.09
2.92E-04,112.52
2.97E-04,115.51
3.03E-04,118.54
3.12E-04,123.14
3.21E-04,127.81
3.27E-04,130.96
3.32E-04,134.15
3.41E-04,138.98
3.50E-04,143.89
3.56E-04,147.2
3.62E-04,150.55
3.70E-04,155.63
3.79E-04,160.79
3.85E-04,164.26
3.91E-04,167.78
3.99E-04,173.1
4.08E-04,178.51
4.14E-04,182.14
4.20E-04,185.83
4.29E-04,191.41
4.38E-04,197.07
4.43E-04,200.87
4.49E-04,204.73
4.58E-04,210.57
4.67E-04,216.48
4.73E-04,220.46
4.79E-04,224.49
4.87E-04,230.59
4.96E-04,236.77
5.02E-04,240.92
5.08E-04,245.13
5.17E-04,251.5
5.26E-04,257.94
5.32E-04,262.26
5.37E-04,266.66
5.46E-04,273.29
5.55E-04,280.01
5.61E-04,284.51
5.67E-04,289.09
5.76E-04,296
5.84E-04,302.99
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
