displacement ,force
2.93E-06,0.7907
5.86E-06,1.5877
8.78E-06,2.3909
1.17E-05,3.2004
1.46E-05,4.0163
1.76E-05,4.8385
2.05E-05,5.667
2.34E-05,6.5019
2.63E-05,7.3431
2.93E-05,8.1908
3.51E-05,9.9053
4.10E-05,11.646
4.97E-05,14.305
5.85E-05,17.022
6.43E-05,18.867
7.02E-05,20.738
7.89E-05,23.594
8.77E-05,26.51
9.35E-05,28.488
9.94E-05,30.493
1.08E-04,33.551
1.17E-04,36.671
1.23E-04,38.785
1.29E-04,40.927
1.37E-04,44.192
1.46E-04,47.52
1.52E-04,49.773
1.58E-04,52.056
1.66E-04,55.532
1.75E-04,59.073
1.81E-04,61.468
1.87E-04,63.894
1.96E-04,67.587
2.04E-04,71.345
2.10E-04,73.885
2.16E-04,76.458
2.25E-04,80.371
2.33E-04,84.351
2.39E-04,87.04
2.45E-04,89.763
2.54E-04,93.902
2.62E-04,98.109
2.68E-04,100.95
2.74E-04,103.82
2.83E-04,108.19
2.92E-04,112.63
2.97E-04,115.62
3.03E-04,118.66
3.12E-04,123.26
3.21E-04,127.93
3.27E-04,131.08
3.32E-04,134.28
3.41E-04,139.12
3.50E-04,144.03
3.56E-04,147.34
3.62E-04,150.7
3.70E-04,155.79
3.79E-04,160.94
3.85E-04,164.42
3.91E-04,167.94
3.99E-04,173.27
4.08E-04,178.68
4.14E-04,182.32
4.20E-04,186.01
4.29E-04,191.6
4.38E-04,197.26
4.43E-04,201.06
4.49E-04,204.93
4.58E-04,210.77
4.67E-04,216.69
4.73E-04,220.67
4.79E-04,224.71
4.87E-04,230.81
4.96E-04,237
5.02E-04,241.15
5.08E-04,245.37
5.17E-04,251.73
5.26E-04,258.18
5.32E-04,262.51
5.37E-04,266.91
5.46E-04,273.55
5.55E-04,280.27
5.61E-04,284.78
5.67E-04,289.36
5.77E-04,295.94
5.88E-04,299.68
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
