displacement ,force
2.93E-06,0.79037
5.86E-06,1.587
8.78E-06,2.3899
1.17E-05,3.1991
1.46E-05,4.0146
1.76E-05,4.8365
2.05E-05,5.6647
2.34E-05,6.4992
2.63E-05,7.3401
2.93E-05,8.1874
3.51E-05,9.9012
4.10E-05,11.641
4.97E-05,14.299
5.85E-05,17.015
6.43E-05,18.859
7.02E-05,20.729
7.89E-05,23.585
8.77E-05,26.5
9.35E-05,28.476
9.94E-05,30.481
1.08E-04,33.538
1.17E-04,36.656
1.23E-04,38.769
1.29E-04,40.911
1.37E-04,44.174
1.46E-04,47.501
1.52E-04,49.753
1.58E-04,52.035
1.66E-04,55.51
1.75E-04,59.049
1.81E-04,61.443
1.87E-04,63.869
1.96E-04,67.559
2.04E-04,71.316
2.10E-04,73.855
2.16E-04,76.428
2.25E-04,80.339
2.33E-04,84.318
2.39E-04,87.005
2.45E-04,89.728
2.54E-04,93.864
2.62E-04,98.07
2.68E-04,100.91
2.74E-04,103.78
2.83E-04,108.15
2.92E-04,112.59
2.97E-04,115.58
3.03E-04,118.61
3.12E-04,123.21
3.21E-04,127.88
3.27E-04,131.03
3.32E-04,134.23
3.41E-04,139.07
3.50E-04,143.98
3.56E-04,147.29
3.62E-04,150.64
3.70E-04,155.72
3.79E-04,160.88
3.85E-04,164.35
3.91E-04,167.87
3.99E-04,173.21
4.08E-04,178.61
4.14E-04,182.25
4.20E-04,185.94
4.29E-04,191.52
4.38E-04,197.18
4.43E-04,200.99
4.49E-04,204.85
4.58E-04,210.69
4.67E-04,216.61
4.73E-04,220.58
4.79E-04,224.62
4.87E-04,230.72
4.96E-04,236.91
5.02E-04,241.05
5.08E-04,245.27
5.17E-04,251.64
5.26E-04,258.09
5.32E-04,262.41
5.37E-04,266.81
5.46E-04,273.45
5.55E-04,280.17
5.61E-04,284.67
5.67E-04,289.26
5.76E-04,296.17
5.85E-04,303.16
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
