displacement ,force
2.93E-06,0.79389
5.86E-06,1.5941
8.78E-06,2.4005
1.17E-05,3.2133
1.46E-05,4.0325
1.76E-05,4.8579
2.05E-05,5.6898
2.34E-05,6.528
2.63E-05,7.3727
2.93E-05,8.2237
3.51E-05,9.9451
4.10E-05,11.692
4.97E-05,14.362
5.85E-05,17.091
6.43E-05,18.942
7.02E-05,20.821
7.89E-05,23.688
8.77E-05,26.616
9.35E-05,28.602
9.93E-05,30.615
1.08E-04,33.685
1.17E-04,36.817
1.23E-04,38.939
1.29E-04,41.09
1.37E-04,44.367
1.46E-04,47.708
1.52E-04,49.97
1.58E-04,52.262
1.66E-04,55.751
1.75E-04,59.306
1.81E-04,61.71
1.87E-04,64.146
1.96E-04,67.852
2.04E-04,71.625
2.10E-04,74.175
2.16E-04,76.758
2.25E-04,80.686
2.33E-04,84.681
2.39E-04,87.38
2.45E-04,90.114
2.54E-04,94.267
2.62E-04,98.49
2.68E-04,101.34
2.74E-04,104.23
2.83E-04,108.61
2.92E-04,113.07
2.97E-04,116.07
3.03E-04,119.12
3.12E-04,123.74
3.21E-04,128.43
3.27E-04,131.59
3.32E-04,134.79
3.41E-04,139.65
3.50E-04,144.59
3.56E-04,147.91
3.62E-04,151.28
3.70E-04,156.38
3.79E-04,161.56
3.85E-04,165.04
3.91E-04,168.58
4.00E-04,173.93
4.08E-04,179.36
4.14E-04,183.01
4.20E-04,186.71
4.29E-04,192.32
4.38E-04,198
4.44E-04,201.82
4.49E-04,205.7
4.58E-04,211.56
4.67E-04,217.5
4.73E-04,221.49
4.79E-04,225.55
4.88E-04,231.66
4.99E-04,234.8
5.05E-04,237.71
5.09E-04,237.23
5.14E-04,241.31
5.24E-04,247.52
5.27E-04,249.46
5.31E-04,250.89
5.41E-04,244.91
5.50E-04,239.93
5.62E-04,235.91
5.67E-04,231.42
5.71E-04,229.22
5.74E-04,230.65
5.80E-04,234.19
5.86E-04,236.71
5.94E-04,238.71
6.01E-04,239.82
