displacement ,force
2.93E-06,0.79188
5.86E-06,1.59
8.78E-06,2.3945
1.17E-05,3.2052
1.46E-05,4.0223
1.76E-05,4.8457
2.05E-05,5.6754
2.34E-05,6.5116
2.63E-05,7.3541
2.93E-05,8.203
3.51E-05,9.92
4.10E-05,11.663
4.97E-05,14.326
5.85E-05,17.048
6.43E-05,18.895
7.02E-05,20.769
7.89E-05,23.629
8.77E-05,26.55
9.35E-05,28.53
9.94E-05,30.538
1.08E-04,33.601
1.17E-04,36.725
1.23E-04,38.842
1.29E-04,40.987
1.37E-04,44.257
1.46E-04,47.59
1.52E-04,49.846
1.58E-04,52.132
1.66E-04,55.613
1.75E-04,59.159
1.81E-04,61.557
1.87E-04,63.987
1.96E-04,67.685
2.04E-04,71.448
2.10E-04,73.992
2.16E-04,76.569
2.25E-04,80.488
2.33E-04,84.474
2.39E-04,87.166
2.45E-04,89.893
2.54E-04,94.037
2.62E-04,98.25
2.68E-04,101.09
2.74E-04,103.97
2.83E-04,108.35
2.92E-04,112.79
2.97E-04,115.79
3.03E-04,118.83
3.12E-04,123.44
3.21E-04,128.12
3.27E-04,131.27
3.32E-04,134.47
3.41E-04,139.32
3.50E-04,144.24
3.56E-04,147.55
3.62E-04,150.91
3.70E-04,156.01
3.79E-04,161.17
3.85E-04,164.65
3.91E-04,168.18
3.99E-04,173.52
4.08E-04,178.93
4.14E-04,182.57
4.20E-04,186.27
4.29E-04,191.86
4.38E-04,197.53
4.43E-04,201.34
4.49E-04,205.21
4.58E-04,211.06
4.67E-04,216.99
4.73E-04,220.97
4.79E-04,225.02
4.88E-04,231.13
4.96E-04,237.32
5.02E-04,241.48
5.08E-04,245.7
5.17E-04,252.08
5.26E-04,258.54
5.32E-04,262.85
5.40E-04,264.71
5.46E-04,267.7
5.52E-04,268.46
5.56E-04,270.53
5.61E-04,274.91
5.68E-04,279.31
5.77E-04,285.69
5.87E-04,291.18
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
