displacement ,force
2.93E-06,0.79625
5.86E-06,1.5988
8.78E-06,2.4077
1.17E-05,3.2229
1.46E-05,4.0445
1.76E-05,4.8724
2.05E-05,5.7067
2.34E-05,6.5474
2.63E-05,7.3946
2.93E-05,8.2481
3.51E-05,9.9746
4.10E-05,11.727
4.97E-05,14.405
5.85E-05,17.141
6.43E-05,18.998
7.02E-05,20.882
7.89E-05,23.758
8.77E-05,26.695
9.35E-05,28.686
9.93E-05,30.705
1.08E-04,33.784
1.17E-04,36.925
1.23E-04,39.053
1.29E-04,41.21
1.37E-04,44.497
1.46E-04,47.848
1.52E-04,50.116
1.58E-04,52.414
1.66E-04,55.914
1.75E-04,59.478
1.81E-04,61.889
1.87E-04,64.332
1.96E-04,68.049
2.04E-04,71.832
2.10E-04,74.389
2.16E-04,76.98
2.25E-04,80.919
2.33E-04,84.925
2.39E-04,87.631
2.45E-04,90.373
2.54E-04,94.538
2.62E-04,98.773
2.68E-04,101.63
2.74E-04,104.53
2.83E-04,108.92
2.92E-04,113.39
2.97E-04,116.4
3.03E-04,119.46
3.12E-04,124.09
3.21E-04,128.79
3.27E-04,131.96
3.32E-04,135.18
3.41E-04,140.05
3.50E-04,144.99
3.56E-04,148.32
3.62E-04,151.7
3.70E-04,156.82
3.79E-04,162.01
3.85E-04,165.51
3.91E-04,169.05
4.00E-04,174.42
4.08E-04,179.86
4.14E-04,183.52
4.20E-04,187.23
4.29E-04,192.85
4.38E-04,198.55
4.44E-04,202.38
4.49E-04,206.26
4.61E-04,209.07
4.68E-04,209.93
4.73E-04,213.81
4.79E-04,217.73
4.89E-04,223.34
5.01E-04,227.97
5.13E-04,226.23
5.29E-04,207.68
5.32E-04,204.26
5.38E-04,202
5.41E-04,203.74
5.47E-04,207.2
5.53E-04,210.84
5.62E-04,216.23
5.73E-04,221.17
5.79E-04,224.56
5.93E-04,222.96
6.03E-04,221.5
6.18E-04,220.05
6.21E-04,218.34
