displacement ,force
2.93E-06,0.79673
5.86E-06,1.5998
8.78E-06,2.4091
1.17E-05,3.2248
1.46E-05,4.0469
1.76E-05,4.8753
2.05E-05,5.7101
2.34E-05,6.5513
2.63E-05,7.399
2.93E-05,8.253
3.51E-05,9.9805
4.10E-05,11.734
4.97E-05,14.413
5.85E-05,17.151
6.43E-05,19.01
7.02E-05,20.895
7.89E-05,23.772
8.77E-05,26.711
9.35E-05,28.703
9.93E-05,30.723
1.08E-04,33.804
1.17E-04,36.947
1.23E-04,39.076
1.29E-04,41.234
1.37E-04,44.523
1.46E-04,47.876
1.52E-04,50.145
1.58E-04,52.445
1.66E-04,55.947
1.75E-04,59.513
1.81E-04,61.925
1.87E-04,64.37
1.96E-04,68.089
2.04E-04,71.874
2.10E-04,74.433
2.16E-04,77.025
2.25E-04,80.966
2.33E-04,84.974
2.39E-04,87.682
2.45E-04,90.425
2.54E-04,94.593
2.62E-04,98.83
2.68E-04,101.69
2.74E-04,104.59
2.83E-04,108.99
2.92E-04,113.45
2.97E-04,116.47
3.03E-04,119.52
3.12E-04,124.16
3.21E-04,128.87
3.27E-04,132.04
3.32E-04,135.25
3.41E-04,140.13
3.50E-04,145.08
3.56E-04,148.41
3.62E-04,151.79
3.70E-04,156.91
3.79E-04,162.1
3.85E-04,165.6
3.91E-04,169.14
4.00E-04,174.51
4.08E-04,179.96
4.14E-04,183.62
4.20E-04,187.34
4.29E-04,192.96
4.38E-04,198.66
4.44E-04,202.49
4.52E-04,203.87
4.58E-04,206.38
4.65E-04,208.11
4.68E-04,210.05
4.74E-04,213.92
4.80E-04,217.76
4.92E-04,222.15
5.12E-04,213.07
5.19E-04,214.79
5.26E-04,210.42
5.28E-04,205.49
5.31E-04,202.38
5.37E-04,204.08
5.42E-04,206.22
5.47E-04,207.31
5.53E-04,210.28
5.60E-04,214.15
5.69E-04,214.05
5.87E-04,210.62
6.02E-04,210.43
6.12E-04,213.64
6.21E-04,217.33
