displacement ,force
2.93E-06,0.79141
5.86E-06,1.5891
8.78E-06,2.393
1.17E-05,3.2033
1.46E-05,4.0199
1.76E-05,4.8428
2.05E-05,5.6721
2.34E-05,6.5077
2.63E-05,7.3497
2.93E-05,8.1981
3.51E-05,9.9141
4.10E-05,11.656
4.97E-05,14.317
5.85E-05,17.037
6.43E-05,18.884
7.02E-05,20.756
7.89E-05,23.615
8.77E-05,26.534
9.35E-05,28.513
9.94E-05,30.52
1.08E-04,33.581
1.17E-04,36.704
1.23E-04,38.819
1.29E-04,40.963
1.37E-04,44.231
1.46E-04,47.562
1.52E-04,49.817
1.58E-04,52.101
1.66E-04,55.581
1.75E-04,59.124
1.81E-04,61.521
1.87E-04,63.95
1.96E-04,67.646
2.04E-04,71.407
2.10E-04,73.949
2.16E-04,76.525
2.25E-04,80.441
2.33E-04,84.425
2.39E-04,87.115
2.45E-04,89.841
2.54E-04,93.983
2.62E-04,98.193
2.68E-04,101.04
2.74E-04,103.91
2.83E-04,108.29
2.92E-04,112.73
2.97E-04,115.72
3.03E-04,118.76
3.12E-04,123.37
3.21E-04,128.04
3.27E-04,131.2
3.32E-04,134.39
3.41E-04,139.24
3.50E-04,144.16
3.56E-04,147.47
3.62E-04,150.83
3.70E-04,155.92
3.79E-04,161.08
3.85E-04,164.56
3.91E-04,168.08
3.99E-04,173.42
4.08E-04,178.83
4.14E-04,182.47
4.20E-04,186.17
4.29E-04,191.76
4.38E-04,197.42
4.43E-04,201.23
4.49E-04,205.1
4.58E-04,210.95
4.67E-04,216.87
4.73E-04,220.85
4.79E-04,224.9
4.87E-04,231
4.96E-04,237.19
5.02E-04,241.35
5.08E-04,245.57
5.17E-04,251.94
5.26E-04,258.4
5.32E-04,262.73
5.37E-04,267.13
5.46E-04,273.75
5.58E-04,277.3
5.64E-04,281.14
5.67E-04,279.2
5.73E-04,283.62
5.82E-04,290.43
5.85E-04,292.58
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
