displacement ,force
2.93E-06,0.79031
5.86E-06,1.5869
8.78E-06,2.3897
1.17E-05,3.1989
1.46E-05,4.0143
1.76E-05,4.8361
2.05E-05,5.6642
2.34E-05,6.4987
2.63E-05,7.3395
2.93E-05,8.1867
3.51E-05,9.9004
4.10E-05,11.64
4.97E-05,14.298
5.85E-05,17.014
6.43E-05,18.858
7.02E-05,20.728
7.89E-05,23.583
8.77E-05,26.498
9.35E-05,28.474
9.94E-05,30.478
1.08E-04,33.535
1.17E-04,36.653
1.23E-04,38.766
1.29E-04,40.907
1.37E-04,44.171
1.46E-04,47.497
1.52E-04,49.749
1.58E-04,52.031
1.66E-04,55.505
1.75E-04,59.044
1.81E-04,61.438
1.87E-04,63.863
1.96E-04,67.554
2.04E-04,71.31
2.10E-04,73.849
2.16E-04,76.422
2.25E-04,80.333
2.33E-04,84.311
2.39E-04,86.998
2.45E-04,89.721
2.54E-04,93.857
2.62E-04,98.062
2.68E-04,100.9
2.74E-04,103.78
2.83E-04,108.14
2.92E-04,112.58
2.97E-04,115.57
3.03E-04,118.6
3.12E-04,123.2
3.21E-04,127.87
3.27E-04,131.02
3.32E-04,134.21
3.41E-04,139.05
3.50E-04,143.97
3.56E-04,147.27
3.62E-04,150.63
3.70E-04,155.71
3.79E-04,160.87
3.85E-04,164.34
3.91E-04,167.86
3.99E-04,173.19
4.08E-04,178.6
4.14E-04,182.23
4.20E-04,185.92
4.29E-04,191.51
4.38E-04,197.17
4.43E-04,200.97
4.49E-04,204.83
4.58E-04,210.67
4.67E-04,216.59
4.73E-04,220.57
4.79E-04,224.61
4.87E-04,230.71
4.96E-04,236.89
5.02E-04,241.04
5.08E-04,245.25
5.17E-04,251.62
5.26E-04,258.07
5.32E-04,262.39
5.37E-04,266.79
5.46E-04,273.43
5.55E-04,280.15
5.61E-04,284.65
5.67E-04,289.23
5.76E-04,296.14
5.85E-04,303.14
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
