displacement ,force
2.93E-06,0.79481
5.86E-06,1.5959
8.78E-06,2.4033
1.17E-05,3.2171
1.46E-05,4.0371
1.76E-05,4.8636
2.05E-05,5.6964
2.34E-05,6.5356
2.63E-05,7.3812
2.93E-05,8.2332
3.51E-05,9.9566
4.10E-05,11.706
4.97E-05,14.379
5.85E-05,17.11
6.43E-05,18.964
7.02E-05,20.845
7.89E-05,23.716
8.77E-05,26.647
9.35E-05,28.635
9.93E-05,30.65
1.08E-04,33.724
1.17E-04,36.859
1.23E-04,38.984
1.29E-04,41.137
1.37E-04,44.418
1.46E-04,47.763
1.52E-04,50.027
1.58E-04,52.321
1.66E-04,55.815
1.75E-04,59.373
1.81E-04,61.78
1.87E-04,64.219
1.96E-04,67.929
2.04E-04,71.706
2.10E-04,74.258
2.16E-04,76.845
2.25E-04,80.777
2.33E-04,84.776
2.39E-04,87.478
2.45E-04,90.215
2.54E-04,94.373
2.62E-04,98.6
2.68E-04,101.45
2.74E-04,104.34
2.83E-04,108.73
2.92E-04,113.19
2.97E-04,116.2
3.03E-04,119.25
3.12E-04,123.87
3.21E-04,128.57
3.27E-04,131.73
3.32E-04,134.94
3.41E-04,139.81
3.50E-04,144.75
3.56E-04,148.07
3.62E-04,151.44
3.70E-04,156.55
3.79E-04,161.73
3.85E-04,165.22
3.91E-04,168.76
4.00E-04,174.12
4.08E-04,179.55
4.14E-04,183.21
4.20E-04,186.92
4.29E-04,192.53
4.38E-04,198.22
4.44E-04,202.04
4.49E-04,205.92
4.58E-04,211.79
4.67E-04,217.74
4.73E-04,221.71
4.81E-04,223.01
4.87E-04,225.48
4.94E-04,227.29
4.97E-04,229.32
5.03E-04,233.34
5.09E-04,237.34
5.20E-04,242.27
5.37E-04,244.39
5.48E-04,234.36
5.60E-04,226.43
5.66E-04,225.35
5.71E-04,221.32
5.77E-04,224.98
5.83E-04,228.71
5.92E-04,234.2
6.06E-04,237.07
,
,
,
