displacement ,force
2.93E-06,0.79235
5.86E-06,1.591
8.78E-06,2.3959
1.17E-05,3.2071
1.46E-05,4.0246
1.76E-05,4.8485
2.05E-05,5.6788
2.34E-05,6.5154
2.63E-05,7.3584
2.93E-05,8.2078
3.51E-05,9.9259
4.10E-05,11.67
4.97E-05,14.334
5.85E-05,17.058
6.43E-05,18.906
7.02E-05,20.781
7.89E-05,23.643
8.77E-05,26.565
9.35E-05,28.547
9.93E-05,30.556
1.08E-04,33.62
1.17E-04,36.746
1.23E-04,38.864
1.29E-04,41.011
1.37E-04,44.283
1.46E-04,47.617
1.52E-04,49.875
1.58E-04,52.162
1.66E-04,55.645
1.75E-04,59.193
1.81E-04,61.593
1.87E-04,64.024
1.96E-04,67.724
2.04E-04,71.489
2.10E-04,74.035
2.16E-04,76.613
2.25E-04,80.534
2.33E-04,84.522
2.39E-04,87.215
2.45E-04,89.944
2.54E-04,94.091
2.62E-04,98.306
2.68E-04,101.15
2.74E-04,104.03
2.83E-04,108.41
2.92E-04,112.86
2.97E-04,115.86
3.03E-04,118.89
3.12E-04,123.51
3.21E-04,128.19
3.27E-04,131.35
3.32E-04,134.54
3.41E-04,139.4
3.50E-04,144.32
3.56E-04,147.64
3.62E-04,151
3.70E-04,156.09
3.79E-04,161.26
3.85E-04,164.74
3.91E-04,168.27
3.99E-04,173.61
4.08E-04,179.03
4.14E-04,182.68
4.20E-04,186.37
4.29E-04,191.97
4.38E-04,197.64
4.43E-04,201.46
4.49E-04,205.33
4.58E-04,211.18
4.67E-04,217.11
4.73E-04,221.09
4.79E-04,225.14
4.88E-04,231.26
4.96E-04,237.45
5.02E-04,241.61
5.08E-04,245.84
5.17E-04,252.21
5.29E-04,256.46
5.35E-04,259.65
5.40E-04,262.35
5.47E-04,264.15
5.56E-04,270.63
5.62E-04,274.88
5.69E-04,278.57
5.79E-04,267.09
5.96E-04,262.91
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
