displacement ,force
2.93E-06,0.79362
5.86E-06,1.5935
8.78E-06,2.3997
1.17E-05,3.2122
1.46E-05,4.0311
1.76E-05,4.8563
2.05E-05,5.6879
2.34E-05,6.5258
2.63E-05,7.3701
2.93E-05,8.2209
3.51E-05,9.9417
4.10E-05,11.688
4.97E-05,14.357
5.85E-05,17.085
6.43E-05,18.936
7.02E-05,20.814
7.89E-05,23.68
8.77E-05,26.607
9.35E-05,28.592
9.93E-05,30.604
1.08E-04,33.674
1.17E-04,36.805
1.23E-04,38.926
1.29E-04,41.076
1.37E-04,44.352
1.46E-04,47.692
1.52E-04,49.953
1.58E-04,52.244
1.66E-04,55.733
1.75E-04,59.286
1.81E-04,61.689
1.87E-04,64.124
1.96E-04,67.83
2.04E-04,71.601
2.10E-04,74.15
2.16E-04,76.732
2.25E-04,80.659
2.33E-04,84.653
2.39E-04,87.351
2.45E-04,90.084
2.54E-04,94.236
2.62E-04,98.458
2.68E-04,101.31
2.74E-04,104.19
2.83E-04,108.58
2.92E-04,113.03
2.97E-04,116.03
3.03E-04,119.08
3.12E-04,123.7
3.21E-04,128.39
3.27E-04,131.55
3.32E-04,134.75
3.41E-04,139.61
3.50E-04,144.54
3.56E-04,147.86
3.62E-04,151.23
3.70E-04,156.33
3.79E-04,161.51
3.85E-04,164.99
3.91E-04,168.52
4.00E-04,173.87
4.08E-04,179.3
4.14E-04,182.95
4.20E-04,186.65
4.29E-04,192.26
4.38E-04,197.94
4.44E-04,201.76
4.49E-04,205.63
4.58E-04,211.49
4.67E-04,217.43
4.73E-04,221.42
4.79E-04,225.48
4.88E-04,231.6
4.97E-04,237.68
5.05E-04,238.61
5.11E-04,241.21
5.17E-04,243.32
5.26E-04,249.53
5.33E-04,253.59
5.40E-04,256.88
5.75E-04,240.08
5.85E-04,240.62
5.91E-04,242.58
5.97E-04,242.81
6.04E-04,243.62
6.13E-04,241.97
,
,
,
,
