displacement ,force
2.93E-06,0.79044
5.86E-06,1.5871
8.78E-06,2.3901
1.17E-05,3.1994
1.46E-05,4.015
1.76E-05,4.8369
2.05E-05,5.6651
2.34E-05,6.4997
2.63E-05,7.3407
2.93E-05,8.1881
3.51E-05,9.9021
4.10E-05,11.642
4.97E-05,14.3
5.85E-05,17.017
6.43E-05,18.861
7.02E-05,20.731
7.89E-05,23.586
8.77E-05,26.502
9.35E-05,28.479
9.94E-05,30.483
1.08E-04,33.541
1.17E-04,36.659
1.23E-04,38.772
1.29E-04,40.914
1.37E-04,44.178
1.46E-04,47.505
1.52E-04,49.757
1.58E-04,52.039
1.66E-04,55.514
1.75E-04,59.054
1.81E-04,61.448
1.87E-04,63.874
1.96E-04,67.565
2.04E-04,71.322
2.10E-04,73.861
2.16E-04,76.434
2.25E-04,80.346
2.33E-04,84.325
2.39E-04,87.012
2.45E-04,89.735
2.54E-04,93.872
2.62E-04,98.077
2.68E-04,100.92
2.74E-04,103.79
2.83E-04,108.16
2.92E-04,112.6
2.97E-04,115.59
3.03E-04,118.62
3.12E-04,123.22
3.21E-04,127.89
3.27E-04,131.04
3.32E-04,134.24
3.41E-04,139.08
3.50E-04,143.99
3.56E-04,147.3
3.62E-04,150.65
3.70E-04,155.74
3.79E-04,160.89
3.85E-04,164.37
3.91E-04,167.89
3.99E-04,173.22
4.08E-04,178.63
4.14E-04,182.26
4.20E-04,185.95
4.29E-04,191.54
4.38E-04,197.2
4.43E-04,201
4.49E-04,204.87
4.58E-04,210.71
4.67E-04,216.63
4.73E-04,220.6
4.79E-04,224.64
4.87E-04,230.74
4.96E-04,236.92
5.02E-04,241.07
5.08E-04,245.29
5.17E-04,251.66
5.26E-04,258.11
5.32E-04,262.43
5.37E-04,266.83
5.46E-04,273.47
5.55E-04,280.19
5.61E-04,284.69
5.67E-04,289.28
5.76E-04,296.19
5.85E-04,303.16
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
